,0
0,4746.268072517131
1,4746.180781258824
2,4745.684142837953
3,4744.844191141985
4,4744.160696399141
5,4743.603369306568
6,4743.209512886319
7,4742.948197935388
8,4742.745892731819
9,4742.5824713915235
10,4742.451093352867
11,4742.353698700501
12,4742.254545318998
13,4742.083225282407
14,4730.953253956861
15,4644.508114066825
16,4435.728163902148
17,4170.498590266294
18,3912.1366796261154
19,3717.1283606993757
20,3573.658630764803
21,3459.4448531821836
22,3365.282936419193
23,3286.171564998014
24,3217.7965075782354
25,3158.5560965911277
26,3105.2271078127355
27,3056.844137491907
28,3013.3371271097203
29,2973.937536423138
30,2937.335623490607
31,2903.669176823184
32,2872.409816420396
33,2843.2089060282533
34,2816.1118782165986
35,2791.0723249427533
36,2767.5981399479033
37,2745.4871169245416
38,2724.7301864644796
39,2705.1448290366943
40,2686.717748786594
41,2669.1798830868206
42,2652.6673149089606
43,2637.085909227232
44,2622.3452621064775
45,2607.855461463681
46,2593.43218406797
47,2578.6718626167044
48,2562.576696468899
49,2544.5642062041106
50,2523.6053954713043
51,2499.372382670909
52,2471.3046821538182
53,2440.169840153725
54,2407.700783775391
55,2374.38884022463
56,2340.7062177072453
57,2306.7497009422464
58,2273.6153969294555
59,2242.125998195333
60,2213.0644845090214
61,2186.3865952452743
62,2162.2464691108667
63,2140.4195237027266
64,2121.210088196004
65,2104.333895085738
66,2089.2573025280803
67,2075.594163966692
68,2063.1969501528074
69,2051.6318400552736
70,2040.9897198410151
71,2030.8878543970322
72,2021.2655263371573
73,2011.957352063918
74,2002.761748491035
75,1993.7124445113348
76,1984.5949873545842
77,1975.4034004938514
78,1966.097136275926
79,1956.4302937675295
80,1946.5681116713688
81,1936.4222402378332
82,1925.8277060802816
83,1914.944454419637
84,1903.7195684566154
85,1892.138797514252
86,1880.1959601990138
87,1868.0405682481426
88,1855.5789756561546
89,1842.758707948536
90,1829.8451225785816
91,1816.6146034247506
92,1803.3670861638734
93,1789.6247037297103
94,1775.6409796768232
95,1760.8810111116468
96,1745.0245584157078
97,1727.7985221174138
98,1709.246352631586
99,1688.9682533002688
100,1668.1146366648577
101,1647.1079719198628
102,1626.4451336877078
103,1606.2501752171781
104,1586.6154950336556
105,1568.214937496376
106,1550.564745622194
107,1534.0397415333498
108,1518.3384137593816
109,1503.5863200889708
110,1489.7378911278083
111,1476.8578246718544
112,1464.7792268761027
113,1453.3491373419724
114,1442.785924636216
115,1433.0293697369839
116,1424.090500907496
117,1415.8971000582173
118,1408.400577078454
119,1401.3803653959133
120,1395.018032519411
121,1389.3282028915983
122,1384.0724396595235
123,1379.3964615157274
124,1375.2177826093375
125,1371.4400116522688
126,1368.1474015563106
127,1365.4125029841712
128,1363.0028226799361
129,1361.0179699639848
130,1359.4325257101984
131,1358.2313393608629
132,1357.3988385136404
133,1356.8716221082102
134,1356.6982958955648
